page_id,topic_kw,value
0,melbourne,0.025119096
0,city,0.017218273
0,business,0.006652567
0,information,0.005766216
0,support,0.004920775
0,businesses,0.0048326133
0,street,0.003941561
0,waste,0.0037711132
0,program,0.0035020723
0,planning,0.003385934
1,melbourne,0.014803368
1,permit,0.013347596
1,city,0.010464217
1,building,0.009451968
1,need,0.005747376
1,property,0.0056508575
1,application,0.005480091
1,creative,0.0053606005
1,planning,0.0051000156
1,information,0.004977543
2,melbourne,0.030578641
2,city,0.023179527
2,information,0.00541173
2,food,0.0049132993
2,business,0.0046947356
2,support,0.004507689
2,people,0.0039867903
2,event,0.003977593
2,public,0.0036904393
2,street,0.0036702175
3,melbourne,0.02645895
3,city,0.010073426
3,permit,0.008678711
3,plan,0.007817619
3,booking,0.0049862647
3,information,0.0046632257
3,new,0.0046309154
3,2022,0.004157803
3,form,0.0035834026
3,page,0.0034281856
4,melbourne,0.0170408
4,city,0.014746319
4,council,0.007423665
4,business,0.006557679
4,page,0.006107763
4,content,0.0049789455
4,–,0.004789935
4,information,0.0046732905
4,new,0.004363217
4,share,0.004259302
5,melbourne,0.025119096
5,city,0.017218273
5,business,0.006652567
5,information,0.005766216
5,support,0.004920775
5,businesses,0.0048326133
5,street,0.003941561
5,waste,0.0037711132
5,program,0.0035020723
5,planning,0.003385934
6,melbourne,0.0170408
6,city,0.014746319
6,council,0.007423665
6,business,0.006557679
6,page,0.006107763
6,content,0.0049789455
6,–,0.004789935
6,information,0.0046732905
6,new,0.004363217
6,share,0.004259302
7,melbourne,0.01735427
7,parking,0.014640905
7,city,0.014590755
7,business,0.009257881
7,2,0.008648808
7,information,0.0071762097
7,street,0.006873335
7,pty,0.005460508
7,people,0.0049845492
7,hours,0.004489277
8,melbourne,0.02645895
8,city,0.010073426
8,permit,0.008678711
8,plan,0.007817619
8,booking,0.0049862647
8,information,0.0046632257
8,new,0.0046309154
8,2022,0.004157803
8,form,0.0035834026
8,page,0.0034281856
9,melbourne,0.014803368
9,permit,0.013347596
9,city,0.010464217
9,building,0.009451968
9,need,0.005747376
9,property,0.0056508575
9,application,0.005480091
9,creative,0.0053606005
9,planning,0.0051000156
9,information,0.004977543
10,city,0.013127766
10,melbourne,0.011711862
10,council,0.008812201
10,required,0.0052438
10,information,0.004781066
10,permit,0.0042190654
10,committee,0.00415188
10,public,0.0040687495
10,local,0.004006283
10,application,0.003925487
11,city,0.015340483
11,food,0.012350719
11,melbourne,0.01221626
11,waste,0.009697276
11,street,0.0068888944
11,recycling,0.006672221
11,bin,0.005662314
11,–,0.005295032
11,bins,0.0050770794
11,public,0.0049683875
12,city,0.015124705
12,melbourne,0.013862845
12,victoria,0.006381244
12,event,0.005482748
12,public,0.0046708975
12,market,0.004649282
12,council,0.0042451797
12,page,0.004234632
12,park,0.003986839
12,energy,0.003934684
13,food,0.011187186
13,permit,0.010829254
13,parking,0.009645034
13,melbourne,0.006965984
13,city,0.0067722793
13,park,0.006404551
13,planning,0.0059681716
13,form,0.005707755
13,information,0.0053102365
13,booking,0.004845251
14,melbourne,0.014803368
14,permit,0.013347596
14,city,0.010464217
14,building,0.009451968
14,need,0.005747376
14,property,0.0056508575
14,application,0.005480091
14,creative,0.0053606005
14,planning,0.0051000156
14,information,0.004977543
15,permit,0.011519492
15,city,0.011242623
15,melbourne,0.0106723765
15,community,0.005846147
15,use,0.0056287814
15,information,0.0052758525
15,pay,0.0047711404
15,building,0.0043808385
15,fine,0.004236251
15,planning,0.0041182684
16,melbourne,0.014803368
16,permit,0.013347596
16,city,0.010464217
16,building,0.009451968
16,need,0.005747376
16,property,0.0056508575
16,application,0.005480091
16,creative,0.0053606005
16,planning,0.0051000156
16,information,0.004977543
17,melbourne,0.015409922
17,city,0.0118637355
17,building,0.011755831
17,community,0.010445781
17,street,0.007555796
17,new,0.0053180656
17,public,0.005298525
17,works,0.00471316
