council,page,url
1,1,https://www.act.gov.au
1,2,https://www.act.gov.au/feed
1,3,https://www.act.gov.au/our-canberra/latest-news/2022/june/top-places-to-see-snow-this-winter
1,4,https://www.act.gov.au/our-canberra
1,5,https://www.act.gov.au/our-canberra/home
1,6,https://www.accesscanberra.act.gov.au/s/
1,7,https://www.act.gov.au/our-canberra/latest-news/2021/june/six-ways-to-embrace-winter-in-cbr
1,8,https://www.act.gov.au/our-canberra/latest-news/2022/june/tuggeranong-community-helps-shape-new-foreshore
1,9,https://www.act.gov.au/our-canberra/latest-news/2022/june/dickson-shops-revitalisation-underway
1,10,https://www.act.gov.au/our-canberra/latest-news/2021/june?a=1500132
1,11,https://www.act.gov.au/our-canberra/central-canberra
1,12,https://www.act.gov.au/our-canberra/belconnen
1,13,https://www.accesscanberra.act.gov.au/s/sports-leisure-and-parks
1,14,https://www.accesscanberra.act.gov.au/s/work-health-and-safety
1,15,https://www.accesscanberra.act.gov.au/s/law-and-order
1,16,https://www.accesscanberra.act.gov.au/s/land-planning-building-and-housing
1,17,https://www.accesscanberra.act.gov.au/s/events-culture-arts-and-tourism
1,18,https://www.accesscanberra.act.gov.au/s/pets-and-wildlife
1,19,https://www.accesscanberra.act.gov.au/s/government
1,20,https://www.accesscanberra.act.gov.au/s/health
1,21,https://www.act.gov.au/home
1,22,https://www.accesscanberra.act.gov.au/s/fair-trading
1,23,https://www.accesscanberra.act.gov.au/s/environment-and-heritage
1,24,https://www.accesscanberra.act.gov.au/s/education
1,25,https://www.accesscanberra.act.gov.au/s/city-services
1,26,https://www.accesscanberra.act.gov.au/s/business
1,27,https://www.accesscanberra.act.gov.au/s/transport
1,28,https://www.accesscanberra.act.gov.au/s/feedback-and-complaints
1,29,https://www.accesscanberra.act.gov.au/s/community-and-family
1,30,https://www.accesscanberra.act.gov.au/s/pay-online
1,31,https://yoursayconversations.act.gov.au/tuggforeshore
1,32,https://yoursayconversations.act.gov.au/copyright
1,33,https://yoursayconversations.act.gov.au/moderation
1,34,https://yoursayconversations.act.gov.au/login
1,35,https://yoursayconversations.act.gov.au/yoursay-community-panel
1,36,https://yoursayconversations.act.gov.au/login/logout/LOGOUT_TOKEN
1,37,https://yoursayconversations.act.gov.au/terms-use
1,38,https://yoursayconversations.act.gov.au/privacy-policy
1,39,https://yoursayconversations.act.gov.au/tuggforeshore/share-your-ideas
1,40,https://yoursayconversations.act.gov.au/contact-us
1,41,https://yoursayconversations.act.gov.au/register
1,42,https://yoursayconversations.act.gov.au/about
1,43,https://yoursayconversations.act.gov.au/disclaimer
1,44,https://yoursayconversations.act.gov.au/login/forgot_password
1,45,https://yoursayconversations.act.gov.au/about/community-engagement
1,46,https://yoursayconversations.act.gov.au/projects
1,47,https://yoursayconversations.act.gov.au/
1,48,https://yoursayconversations.act.gov.au/enhancing-canberras-mental-health-and-wellbeing
1,49,https://yoursayconversations.act.gov.au/hrc
1,50,https://yoursayconversations.act.gov.au/inclusivecity
1,51,https://yoursayconversations.act.gov.au/criminal-law-reform
1,52,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/1214/6724/4358/Community_engagement_July2011_FA_Press.rtf
1,53,https://yoursayconversations.act.gov.au/dickson-section-72
1,54,https://yoursayconversations.act.gov.au/curtin-group-centre-master-plan-2
1,55,https://yoursayconversations.act.gov.au/statement-planning-intent
1,56,https://yoursayconversations.act.gov.au/gungahlin-town-centre-planning-refresh
1,57,https://yoursayconversations.act.gov.au/throsby-community-garden
1,58,https://yoursayconversations.act.gov.au/housing-choices
1,59,https://yoursayconversations.act.gov.au/environmental-standards
1,60,https://yoursayconversations.act.gov.au/manukaoval
1,61,https://yoursayconversations.act.gov.au/provisional-registration-tharwa-school-tharwa
1,62,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2614/6724/4263/communityengagement_FINAL.pdf
1,63,https://yoursayconversations.act.gov.au/occupancies
1,64,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6415/7068/2406/Human_Rights_Commission_Client_service_charter_Consultation_Copy_2019_Combined.pdf
1,65,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8715/5124/6325/What_We_Heard_-_Delivering_Criminal_Justice_Reforms_FINAL_3.0.docx
1,66,https://yoursayconversations.act.gov.au/public-housing-your-community-downer
1,67,https://yoursayconversations.act.gov.au/hrc/human-rights-charter-forum
1,68,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/5215/2348/7795/Curtin_Group_Centre_Master_Plan_-_Community_Panel_-_Community_Panel_Outcomes_Report.pdf
1,69,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/7115/4336/4809/Curtin-Masterplan-Engagement-Report-ACCESS_002.pdf
1,70,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8015/2480/4909/Observer_Code_A16015725.pdf
1,71,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6515/2177/6076/180272_Royal_commission_factsheet_-_other_trial_and_sentencing_reforms.pdf
1,72,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/3015/9339/8813/Throsby_-_Community_Garden_FAQ.pdf
1,73,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/7614/9033/4159/Feedback_on_the_draft_design_23.3.17.pdf
1,74,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8316/1576/5632/Att_B_-_Environmental_Standards__Assessment_and_Classification_of_Liquid_and_Non-liquid_Wastes_2000_A26999020.pdf
1,75,https://yoursayconversations.act.gov.au/occupancies/occupancies-submissions
1,76,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/4315/7483/7186/Explanatory_Statement_-_Residential_Tenancies_Amendment_Bill_2019_No_2_Public_Exposure_Draft.pdf
1,77,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/3415/7483/7163/Exposure_Draft_Bill_-_Residential_Tenancies_Amendment_Bill_2019_No_2.PDF
1,78,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/7315/7489/3615/Presentation_Speech_-_Exposure_Draft_Bill_-_Residential_Tenancies_Amendment_Bill_No_2.pdf
1,79,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/4015/2212/1736/Attachment_-_Map_of_Section_72.pdf
1,80,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8815/1658/1211/201410_-_Communication_Link_-_Community_Engagement_Outcomes_Report_-_Omnibus_Territory_Plan_Variation_-_Watson.Dickson.pdf
1,81,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2914/9030/7661/Community_Engagement_Mtg_2_presentation_low_res.pdf
1,82,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6614/8852/7917/draft_principles_Manuka_Oval_media_centre.pdf
1,83,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2215/1130/7416/Tharwa_School_-_Background_Information_November_2017.pdf
1,84,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6916/2330/7204/Listening_Report_-_draft_Environmental_Standards.pdf
1,85,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/9915/1130/7584/Comments_on_the_Provisional_Registration_of_Tharwa_School.docx
1,86,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8614/8876/4780/Populous_Presentation_for_community_workshop_Manuka_Oval_media_centre_2_March_2017_compressed.pdf
1,87,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/4715/2722/7558/Housing_Choices_Collaboration_Hub_Agenda_26_May.docx
1,88,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/7115/2878/1740/Agenda_Collaboration_Hub_Day_3.pdf
1,89,https://yoursayconversations.act.gov.au/housing-choices/demonstrationhousing
1,90,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2016/1524/6148/Draft_Environmental_Standards-Liquid__Non_Liquid_Wastes-access.pdf
1,91,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/9115/2201/9684/Collaboration_Hub_Process_Design.pdf
1,92,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/7615/2540/0051/Housing_Choices_Discussion_Paper_Community_Engagement_Report_-_May_2018.pdf
1,93,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/1915/3290/7795/Housing_Choices_Collaboration_Hub_Report_1_002.pdf
1,94,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8915/2539/9786/FINAL_-_Housing-Choices-and-Collaboration-Hub-Information-Kit-Accessible.pdf
1,95,https://yoursayconversations.act.gov.au/throsby-community-garden/survey
1,96,https://yoursayconversations.act.gov.au/throsby-community-garden/frequently-asked-questions-faqs
1,97,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/5215/3740/2339/Housing-Choices-and-Collaboration-Hub-_Government_Response.pdf
1,98,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/3016/0499/1896/20201110_Throsby_Community_Garden_listening_report_FINAL_PDF.pdf
1,99,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8614/8763/6470/Gungahlin_Town_Centre_Planning_Report_-_Addendum_-_May_2011.pdf
1,100,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6015/1063/8006/Housing_Choices_Discussion_Paper_3Nov2017.pdf
1,101,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/5716/2313/5480/20210420-Throsby_Community_Garden_Workshop_Listening_Report_A29032991.pdf
1,102,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/4415/4214/3322/Appendix-B-Gungahlin-Town-Centre-Planning-Refresh-Survey-Results.pdf
1,103,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/9415/4213/8874/Gungahlin_Town_Centre_Refresh_-_Comunity_Engagement_Report.pdf
1,104,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2914/8763/6416/GTC_Planning_Report_web_2.pdf
1,105,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/7915/4205/6764/Gungahlin_refresh_-_Snapshot_-_V27_-_ACCESS_WEB_READY.pdf
1,106,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2714/7150/0327/Newletter-SoPI-April2016.pdf
1,107,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8114/7150/0193/Statement_of_Planning_Intent-Public_Engagement_Report.pdf
1,108,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6215/3197/1594/Dickson_Section_72_-_Comunity_Engagement_Report.pdf
1,109,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/9115/3197/1706/Dickson-Section72-Final-Stakeholder-Workshop-Outcomes.pdf
1,110,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2315/1028/1056/2017_Housing_Choices_Discussion_Paper_3Nov2017.pdf
1,111,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6715/3629/8117/Dickson_Section_72_3D_Model_Images_-_Scenario_1.pdf
1,112,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2515/3197/1798/Dickson-Section-72-Appendix-2-Technical-Summary.pdf
1,113,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/1415/4214/3278/Appendix-A-to-engagement-report-Gungahlin-Town-Centre-Refresh-2017-Stakeholder-Workshop-Outcomes-Report.pdf
1,114,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/9215/6989/9762/Gungahlin_DV364.PDF
1,115,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6915/3629/8037/Dickson_Section_72_3D_Model_Images_-_Scenario_2.pdf
1,116,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2315/1658/1268/20150204_-_Elton_-_Dickson_Part_Section_72_-_Engagement_Outcomes_Report.pdf
1,117,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/3315/3629/7983/Dickson_Section_72_Scenarios_1_and_2.pdf
1,118,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/1814/7149/9810/Statement_of_Planning_Intent_2015-Access_web__version.pdf
1,119,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/1015/3992/0405/Welcome_Pack_for_Dickson_Section_72_design_workshop_-_24_October_2018.pdf
1,120,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/5415/4234/3844/Listening_Report_Stage_2_Engagement_-_Dickson_Section_72_-_combined.pdf
1,121,https://yoursayconversations.act.gov.au/dickson-section-72/dickson-swimming-pool-forecourt-upgrade
1,122,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8015/4214/3366/Appendix-C-to-engagement-report-written-submissions.pdf
1,123,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6715/4234/2920/Preliminary_design_Workshop_2_Presentation_-_Dickson_Section_72.pdf
1,124,https://yoursayconversations.act.gov.au/dickson-section-72/section-72-urban-renewal
1,125,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/3515/2177/6055/180272_Royal_commission_factsheet_-_intermediary_scheme.pdf
1,126,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/8115/2177/5975/180272_Royal_commission_factsheet_-_Failure_to_Report.pdf
1,127,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/5215/2177/6033/180272_Royal_commission_factsheet_-_vulnerable_witnesses.pdf
1,128,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/3015/2177/6010/180272_Royal_commission_factsheet_-_failure_to_protect.pdf
1,129,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/1915/2154/9436/180272_Royal_commission_factsheet_-_cominbed_1.pdf
1,130,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/5515/4821/3625/SPACELAB_Community_Workshop_2_Report_20181214_Final_V4__A18738398_Acc.pdf
1,131,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/4415/5677/3012/What_We_Heard_-_Mental_Health__Wellbeing_FINAL.docx
1,132,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/3515/4336/5064/Curtin-Masterplan-Final-ACCESS_002.pdf
1,133,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2815/4821/3523/SPACELABE_Community_Workshop_2_Appedix_AB_A18738397_Access.pdf
1,134,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/4715/5676/7481/20190430_-_Section_72_Dickson_CNA_Final_Report_190418_ACCESSIBLE_VERSION_A19375192_ACCESS.pdf
1,135,https://yoursayconversations.act.gov.au/enhancing-canberras-mental-health-and-wellbeing/background
1,136,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/7115/9064/5329/L900-DETAILS2.pdf
1,137,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/1915/7379/3923/Pages_from_Dickson_Section_72_Tree_Assessment_Report_Part_1_of_4.pdf
1,138,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/2015/7379/4376/Pages_from_Dickson_Section_72_Tree_Assessment_Report_Part_4_of_4.pdf
1,139,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/4715/9064/5098/L402-Material_and_Finish_Plan2.pdf
1,140,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/4315/9064/4873/L200_General_Arrangement2.pdf
1,141,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/7615/8571/3916/Dickson_Section_72_-_Tree_Assessment_-_March_2020.pdf
1,142,https://yoursayconversations.act.gov.au/enhancing-canberras-mental-health-and-wellbeing/feedback-form
1,143,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/5215/9064/5158/L600-Detail_Plan2.pdf
1,144,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/6715/9064/4946/L400-Material_and_Finish_Plan19.pdf
1,145,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/9015/9064/5037/L401-Material_and_Finish_Plan16.pdf
1,146,https://hdp-au-prod-app-act-yoursay-files.s3.ap-southeast-2.amazonaws.com/1315/8984/1966/Dickson_Pedestrian_Trail.pdf
