council,page,url
0,1,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/history/Pages/Notable-Melbourne-women.aspx
0,2,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/history/Pages/melbourne-town-hall-history.aspx
0,3,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/Pages/heritage-resources.aspx
0,4,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/history/Pages/coat-of-arms.aspx
0,5,https://www.melbourne.vic.gov.au/Pages/home.aspx
0,6,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/history/Pages/history-city-of-melbourne.aspx
0,7,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/history/Pages/council-mayor-lord-mayor-history.aspx
0,8,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/history/Pages/parks-gardens-history.aspx
0,9,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/history/Pages/history.aspx
0,10,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/history/Pages/building-melbourne.aspx
0,11,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-is-open/Pages/melbourne-money.aspx
0,12,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-is-open/Pages/covid-19-recovery.aspx
0,13,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/Pages/melbourne-heritage.aspx
0,14,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-is-open/Pages/melbourne-is-open.aspx
0,15,https://www.melbourne.vic.gov.au/about-melbourne/celebrating-melbourne/Pages/unesco-city-of-literature-office.aspx
0,16,https://www.melbourne.vic.gov.au/about-melbourne/celebrating-melbourne/melbourne-awards/Pages/melbourne-awards-event-partners.aspx
0,17,https://www.melbourne.vic.gov.au/pages/disclaimer.aspx
0,18,https://www.melbourne.vic.gov.au/pages/social-media.aspx
0,19,https://www.melbourne.vic.gov.au/pages/mapviewer.aspx?gsrc=/about-melbourne/melbourne-heritage/Pages/melbourne-heritage.aspx&id=g_c1c5d28a_045b_47bd_89d3_e3e4a61e6bc4
0,20,https://www.melbourne.vic.gov.au/arts-and-culture/art-outdoors/pages/flash-forward.aspx
0,21,https://www.melbourne.vic.gov.au/building-and-development/shaping-the-city/city-projects/pages/little-streets.aspx
0,22,https://www.melbourne.vic.gov.au/about-melbourne/melbourne-heritage/pages/heritage-resources.aspx
0,23,https://www.melbourne.vic.gov.au/parking-and-transport/roads/pages/road-closures.aspx
0,24,https://www.melbourne.vic.gov.au/pages/mapviewer.aspx?gsrc=&id=g_c1c5d28a_045b_47bd_89d3_e3e4a61e6bc4
0,25,https://www.melbourne.vic.gov.au/building-and-development/shaping-the-city/city-projects/pages/new-bike-lanes.aspx
0,26,https://www.melbourne.vic.gov.au/news-and-media/Pages/Trailblazing-leader-named-Melburnian-of-the-Year-.aspx
0,27,https://www.melbourne.vic.gov.au/news-and-media/Pages/Melbourne-Awards-celebrate-city%E2%80%99s-best-and-brightest.aspx
0,28,https://www.melbourne.vic.gov.au/news-and-media/Pages/Celebrating-the-achievements-of-inspirational-Melburnians-.aspx
0,29,https://www.melbourne.vic.gov.au/Pages/we-chat.aspx
0,30,https://www.melbourne.vic.gov.au/about-council/governance-transparency/policies-protocols/Pages/social-media-policy.aspx
0,31,https://www.melbourne.vic.gov.au/news-and-media/Pages/$100-million-boost-to-Melbourne%E2%80%99s-reopening.aspx
0,32,https://www.melbourne.vic.gov.au/about-council/governance-transparency/policies-protocols/Pages/community-engagement-policy.aspx
0,33,https://www.melbourne.vic.gov.au/about-council/governance-transparency/policies-protocols/Pages/code-of-conduct-and-protocol.aspx
0,34,https://www.melbourne.vic.gov.au/news-and-media/Pages/Creating-a-greener-and-more-sustainable-city.aspx
0,35,https://www.melbourne.vic.gov.au/news-and-media/Pages/Creatives-bring-the-buzz-to-Howey-Place.aspx
0,36,https://www.melbourne.vic.gov.au/news-and-media/Pages/Melbourne-comes-to-life-after-dark.aspx
0,37,https://www.melbourne.vic.gov.au/parking-and-transport/cycling/pages/bicycle-plan.aspx
0,38,https://www.melbourne.vic.gov.au/parking-and-transport/transport-planning-projects/pages/transport-strategy.aspx
