council,page,url
2,1,https://www.cityofsydney.nsw.gov.au
2,2,https://www.cityofsydney.nsw.gov.au/talks-courses-workshops/rock-rhyme-and-storytime
2,3,https://www.cityofsydney.nsw.gov.au/get-help-your-language
2,4,https://www.cityofsydney.nsw.gov.au/email-newsletters
2,5,https://www.cityofsydney.nsw.gov.au/talks-courses-workshops/business-seminars
2,6,https://www.cityofsydney.nsw.gov.au/terms-conditions
2,7,https://www.cityofsydney.nsw.gov.au/privacy
2,8,https://www.cityofsydney.nsw.gov.au/volunteer-programs/volunteer-for-sydney-city-farm
2,9,https://www.cityofsydney.nsw.gov.au/consultations
2,10,https://www.cityofsydney.nsw.gov.au/culture-creativity/reconciliation
2,11,https://www.cityofsydney.nsw.gov.au/business-permits-approvals-tenders/declare-business-ownership-changes
2,12,https://www.cityofsydney.nsw.gov.au/business-permits-approvals-tenders
2,13,https://www.cityofsydney.nsw.gov.au/vision-setting/your-say-developing-community-wealth-building-policy
2,14,https://www.cityofsydney.nsw.gov.au/careers
2,15,https://www.cityofsydney.nsw.gov.au/library-collections/toys-collection
2,16,https://www.cityofsydney.nsw.gov.au/business-economy/retail
2,17,https://www.cityofsydney.nsw.gov.au/business-economy/night-time-economy
2,18,https://www.cityofsydney.nsw.gov.au/website-accessibility
2,19,https://www.cityofsydney.nsw.gov.au/strategies-action-plans/community-engagement-strategy
2,20,https://www.cityofsydney.nsw.gov.au/policy-planning-changes/have-your-say-delivery-program-operational-plan
2,21,https://www.cityofsydney.nsw.gov.au/community-support-funding/international-students
2,22,https://www.cityofsydney.nsw.gov.au/governance-decision-making/community-engagement
2,23,https://www.cityofsydney.nsw.gov.au/talks-courses-workshops/youth-and-school-holiday-programs
2,24,https://www.cityofsydney.nsw.gov.au/policy-planning-changes/strategic-review-pyrmont-peninsula
2,25,https://www.cityofsydney.nsw.gov.au/playgrounds
2,26,https://www.cityofsydney.nsw.gov.au/policies/privacy-management-plan
2,27,https://www.cityofsydney.nsw.gov.au/advisory-panels/nightlife-creative-sector-advisory-panel
2,28,https://www.cityofsydney.nsw.gov.au/business-permits-approvals-tenders/register-skin-penetration-business-or-event
2,29,https://www.cityofsydney.nsw.gov.au/community-gardens
2,30,https://www.cityofsydney.nsw.gov.au/library-collections/book-collection
2,31,https://www.cityofsydney.nsw.gov.au/business-permits-approvals-tenders/set-up-family-day-care-centre
2,32,https://www.cityofsydney.nsw.gov.au/strategies-action-plans/international-education-action-plan
2,33,https://www.cityofsydney.nsw.gov.au/public-health-safety-programs/safe-space-program
2,34,https://www.cityofsydney.nsw.gov.au/community-activities-initiatives/international-student-leadership-ambassador-program
2,35,https://www.cityofsydney.nsw.gov.au/development-contributions
2,36,https://www.cityofsydney.nsw.gov.au/business-permits-approvals-tenders/submit-tender
2,37,https://www.cityofsydney.nsw.gov.au/community-activities-initiatives/betty-makin-youth-awards
2,38,https://www.cityofsydney.nsw.gov.au/development-applications/get-advice-city-development-application
2,39,https://www.cityofsydney.nsw.gov.au/affordable-housing-contributions
2,40,https://www.cityofsydney.nsw.gov.au/community-centres
2,41,https://www.cityofsydney.nsw.gov.au/advisory-panels/inclusion-advisory-panel
2,42,https://www.cityofsydney.nsw.gov.au/community-groups/biodiversity-volunteering-groups
2,43,https://www.cityofsydney.nsw.gov.au/strategies-action-plans
2,44,https://www.cityofsydney.nsw.gov.au/business-permits-approvals-tenders/lodge-development-application-for-sex-premises
2,45,https://www.cityofsydney.nsw.gov.au/international-student-ambassadors/2013-2014
2,46,https://www.cityofsydney.nsw.gov.au/council-governance-administration/tenders-submitted
2,47,https://www.cityofsydney.nsw.gov.au/business-economy/green-economy
2,48,https://www.cityofsydney.nsw.gov.au/community-activities-initiatives/weekly-local-playgroups-0-5-year-olds
2,49,https://www.cityofsydney.nsw.gov.au/people-communities/transport-and-access
2,50,https://www.cityofsydney.nsw.gov.au/sports-competitions
2,51,https://www.cityofsydney.nsw.gov.au/affordable-housing-contributions/city-of-sydney-affordable-housing-program
2,52,https://www.cityofsydney.nsw.gov.au/meeting-minutes-terms-of-reference/inclusion-advisory-panel-2017-meetings
2,53,https://www.cityofsydney.nsw.gov.au/built-environment
2,54,https://www.cityofsydney.nsw.gov.au/policies
2,55,https://www.cityofsydney.nsw.gov.au/pet-animal-services/report-sick-and-injured-wildlife
2,56,https://www.cityofsydney.nsw.gov.au/strategies-action-plans/wayfinding-strategy
2,57,https://www.cityofsydney.nsw.gov.au/development-applications/lodge-development-application
2,58,https://www.cityofsydney.nsw.gov.au/people-communities
2,59,https://www.cityofsydney.nsw.gov.au/community-support-funding/community-transport
2,60,https://www.cityofsydney.nsw.gov.au/environmental-action/energy-and-climate-change
2,61,https://www.cityofsydney.nsw.gov.au/improving-streets-public-spaces
2,62,https://www.cityofsydney.nsw.gov.au/lists-maps-inventories/librarian-picks
2,63,https://www.cityofsydney.nsw.gov.au/built-environment/architecture-design
2,64,https://www.cityofsydney.nsw.gov.au/sports-facilities
2,65,https://www.cityofsydney.nsw.gov.au/policies/waste-policy
2,66,https://www.cityofsydney.nsw.gov.au/environmental-support-funding
2,67,https://www.cityofsydney.nsw.gov.au/development-applications/make-changes-da-after-city-consent
2,68,https://www.cityofsydney.nsw.gov.au/built-environment/public-spaces
2,69,https://www.cityofsydney.nsw.gov.au/child-care-family-services
2,70,https://www.cityofsydney.nsw.gov.au/international-student-ambassadors
2,71,https://www.cityofsydney.nsw.gov.au/guides/climate-action-for-workers
2,72,https://www.cityofsydney.nsw.gov.au/development-applications/ask-city-review-da-decision
