id,keyword_id,similar_keyword
0,0,sdg14
1,1,sdg10
2,2,sdg1
3,3,sdg9
4,4,sustainable development
5,5,sdg8
6,6,sdg3
7,7,sdg16
8,8,sdg6
9,9,sdg17
10,10,sdg12
11,11,sdg11
12,12,sdg15
13,13,sdg13
14,14,sdg
15,15,sdg2
16,16,sustainable development goals
17,17,sdg7
18,18,sdg4
19,19,sdg5
20,20,social protection systems
21,21,financial inclusion
22,22,essential services
23,23,poverty line
24,24,basic services
25,25,extreme poverty
26,26,disaster risk
27,27,poverty
28,28,income equality
29,29,social protection
30,30,non-discrimination
31,31,poor and vulnerable
32,32,poverty eradication
33,33,end poverty
34,34,wealth distribution
35,35,asylum seeker
36,36,microfinance
37,37,economic resources
38,38,quality of life
39,39,improved nutrition
40,40,starvation
41,41,food in-security
42,42,livestock gene banks
43,43,wasting and food
44,44,crop diversity
45,45,sufficient food
46,46,undernourished
47,47,food waste
48,48,hungry people
49,49,seed and plant bank
50,50,stunted growth
51,51,food poverty
52,52,nutritional needs
53,53,genetic diversity of seeds
54,54,sustainable food production
55,55,sustainable food system
56,56,hunger
57,57,agriculture and sustainable
58,58,agricultural orientation index
59,59,small-scale food producers
60,60,food insecure
61,61,soil pollution
62,62,malnourish
63,63,nutritious
64,64,sustainable agriculture
65,65,world’s hungry
66,66,agricultural imports
67,67,resilient agriculture
68,68,food price anomalies
69,69,agricultural exports
70,70,malnourished
71,71,food reserves
72,72,food gap
73,73,nutrition
74,74,food insecurity
75,75,trade restrictions
76,76,food security
77,77,agricultural productivity
78,78,genetic diversity
79,79,stunting
80,80,malnutrition
81,81,trade diversity
82,82,food production
83,83,agricultural subsidy
84,84,rural development
85,85,antiretroviral
86,86,substance abuse
87,87,vaccines in developing countries
88,88,early childhood development
89,89,mortality rate
90,90,epidemic eradication
91,91,drug abuse
92,92,antenatal care
93,93,sexual and reproductive health-care
94,94,alcoholism
95,95,universal health
96,96,family planning
97,97,health risk
98,98,refugees and health services
99,99,sexual health
100,100,maternal mortality
101,101,sport participation rate
102,102,tobacco control
103,103,child deaths
104,104,road traffic accidents
105,105,vaccines
106,106,soil contamination
107,107,communicable disease
108,108,health worker density
109,109,treatment of substance abuse
110,110,world health organisation
